first_name,last_name,birth_date
Mickey,Baasha,28-05-1981
Jiji,Sharma,05-09-1957
Blair,Diaz,07-01-1967
Thomas,ONeill,31-01-1993
Sonny,Beckett,11-12-1952
Sister,Spitzer,15-10-1966
Rick,Bennett,27-01-1977
Amy,Leela,25-06-1977
Tom,Halliwell,01-08-1987
Rachel,Winterbourne,26-04-1966
Jon,Doggett,25-12-1951
Angel,Edwards,22-08-1975
Nino,Andrews,21-04-2001
John,Farley,12-09-1956
Lucille,Maureen,22-08-1953
Sam,Threep,16-06-1982
Roland,Edge,25-09-1967
Don,Wiggum,15-11-2002
Anne,Marlowe,17-09-1996
Temple,Russert,11-05-1953
Don,Edwards,02-07-1975
Neil,Allan,02-02-1975
Harry,Kuramitsu,03-12-1979
Gary,Ramotswe,31-07-1977
Phil,Chester,25-09-1990
Gregory,James,17-08-1986
Woody,Riviera,10-07-1990
Georgette,Gallagher,06-12-1975
Rocky,Donahue,16-04-1953
Mary,Spellman,08-03-1988
Shiro,Whale,16-01-1995
Didi,Dean,13-11-1957
Catherine,Minoru,25-02-1997
Danny,Hardbroom,11-05-1985
Lily,Crusher,17-03-1954
Lily,Vargas,02-05-1923
Reginald,Jackson,06-08-1966
Gytha,Banzai,22-08-2001
Nick,Walker,16-07-1969
Phoebe,Bell,06-05-1975
Ann,Blocksberg,05-09-1996
Sam,Spratt,23-09-1983
Zoe,Miller,12-12-1951
Mendy,Strate,29-03-1956
Hal,Riviera,02-04-1965
Gene,Edwards,06-06-1965
Jonny,Christian,26-06-2003
John,Stape,30-05-1966
Alice,Taylor,04-01-1953
Moe,Provenza,06-11-2005
Gillian,Dyson,14-09-2000
Leyla,Dedede,06-05-1981
Briareos,Hayes,12-12-1918
Mable,Taggart,17-05-1962
Chen,Baasha,09-05-1992
Teddy,McGrath,15-06-1967
Salvatore,Neutron,22-06-1994
Stanley,Bean,01-11-1989
Derek,Burbank,14-02-1988
Thomas,Fortune,14-12-1950
Arnold,Love,14-07-1952
Alexandra,Robins,25-10-1988
Vin,Smyth,08-02-1951
Kenny,Skelton,29-05-1970
Fiz,Ozaki,16-09-1989
Mike,Madison,13-09-1993
Reginald,Cavor,24-07-1986
Scott,Corinthos,25-11-1999
Agnes,Duckworth,29-03-1979
Keziah,Brearly,06-10-1949
David,Redfield,20-01-1982
Sonny,Waterman,13-02-1987
Jeff,Tyrell,18-07-1997
Daneel,Carpenter,13-06-1977
Kazuki,Scarpetta,13-07-1989
Robert,Page,28-09-1966
Miranda,Delacour,04-08-1989
Valentin,Mackey,20-06-2004
Emmett,Colbock,29-10-1986
Alex,Fox,07-11-1951
Wanda,Redfield,12-04-1989
Phil,Uzuki,24-04-1974
Nancy,Costello,13-04-2000
Hoshi,Johnson,27-03-1978
Didi,Del Lago,09-09-1975
Doyle,Starr,31-10-1990
Cary,Henderson,31-07-1961
Joanna,Cooper,15-01-1972
Gwenog,Hughes,28-02-1951
Freddy,Johnson,22-02-1990
Christine,Lynch,01-08-1994
Elvis,Kennedy,01-03-1952
Jack,Wesley,15-07-1933
John,Pearle,15-12-1968
Naoto,Stewart,17-11-1995
Anita,Manu,16-07-1963
